name,ingredients,diet,region
Pattor,sesame seeds,vegetarian,West
Bhakri,sesame seeds,vegetarian,West
Muthiya,sesame seeds,vegetarian,West
Patra,sesame seeds,vegetarian,West
Thalipeeth,sesame seeds,vegetarian,West
Khichu,sesame seeds,vegetarian,West
Khaman,sesame seeds,vegetarian,West
Churma Ladoo,sesame seeds,vegetarian,West
Boondi,sugar,vegetarian,West
Ghevar,sugar,vegetarian,West
Sohan papdi,sugar,vegetarian,West
Doodhpak,sugar,vegetarian,West
Mahim halwa,sugar,vegetarian,West
Shrikhand,sugar,vegetarian,West
Sutar feni,sugar,vegetarian,West
Chevdo,sugar,vegetarian,West
Dudhi halwa,sugar,vegetarian,West
Keri no ras,sugar,vegetarian,West
Sev tameta,sugar,vegetarian,West
Turiya Patra Vatana sabji,sugar,vegetarian,West
